Pretty Formula,Density,Energy,Energy_per_Atom,Volume,Formation_Energy_per_Atom,Band Gap
B13C2,2.438648037418913,-106.35803249,-7.090535499333333,112.05619121790234,-0.07241597427777814,0.008899999999999686
SiB3,2.4499735446019497,-204.9929061,-6.406028315625,328.145035243039,-0.04080407937500041,1.4083000000000006
SnB6,4.110239816406315,-42.85211272,-6.121730388571429,74.16480021196546,0.17549204071428498,0.7526999999999999
B6Pb,6.00381988528919,-42.96859966,-6.138371380000001,75.24812920580793,0.11486168999999892,0.9208999999999996
BN,3.30214298963956,-68.87667721,-8.60958465125,49.92001843930603,-1.2940852607733326,4.788499999999999
B6P,2.5888853940274603,-95.03668705,-6.788334789285714,122.94531596682985,-0.2910556595918367,2.5138999999999996
BAs,5.087633693716703,-11.37460619,-5.687303095,27.982032094119386,-0.024118925833333194,1.2070999999999996
BSb,5.974004928960782,-10.0675038,-5.0337519,36.84953790457194,0.3691845066666666,0.7525999999999993
BiB,8.617189402203188,-17.78014333,-4.4450358325,84.70794439378162,0.8433499316666664,0.00010000000000065512
B2O3,1.6580457228567478,-787.95841568,-7.8795841568,1394.497853453903,-2.672324404716667,4.231
BS2,1.5563901594905443,-257.89894693,-5.372894727708334,1279.2931688786718,-0.8371068393055564,2.5545
BSe2,3.241430136787769,-112.4833435,-4.6868059791666665,691.508132977132,-0.13429750711805552,1.7550000000000001
B5F6,1.847656295808345,-260.3585809,-5.917240475,604.1079820047021,-2.1067010414066663,3.3048
BCl,1.5020029467308262,-307.92324777,-4.81130074640625,1636.7089732018208,-0.8451119613695832,0.9011
BBr3,2.3783030504338076,-27.37668176,-3.42208522,349.8319710282842,-0.5306924866666667,3.8285
BI3,3.1014613936521105,-22.98268316,-2.872835395,419.2485318364033,-0.06390931666666688,2.6818
Al4C3,2.9308029396903637,-43.30832788,-6.186903982857143,81.56409914980738,-0.09135634517857076,1.3528000000000002
Al6Ge5,3.8716354436166034,-90.13079424,-4.096854283636364,450.420077640836,0.048813907727272655,0.49599999999999955
AlN,3.200889640442182,-29.77967434,-7.444918585,42.52728336284192,-1.5946309011899995,4.054000000000001
AlP,2.3047844952969645,-10.37842077,-5.189210385,41.75533088564775,-0.6102616210714285,1.6302000000000003
AlAs,3.5907006473456375,-9.37404722,-4.68702361,47.12566057794863,-0.48905114749999967,1.5189999999999997
AlSb,4.07841125964708,-8.19939072,-4.09969536,60.56062422119245,-0.16197066000000016,1.2272999999999996
Al2O3,3.1595663993864354,-731.44671185,-7.3144671185000005,1071.7336492231386,-3.2793767317499998,3.2885999999999997
Al2S3,2.632899402075954,-201.26771268,-5.031692817,757.6236271399806,-1.4538004234375002,1.6714000000000002
Al2Se3,0.3396089974975278,-26.23284262,-2.623284262,2844.1901584651005,0.9696566568437504,0.5859999999999994
Al2Te3,4.339510598034652,-38.07497696,-3.807497696,334.25987771505953,-0.4228073460000005,1.3322000000000003
AlF3,2.8887968435790676,-70.7064147,-5.892201225,144.81461631505653,-3.8897628296424998,7.4251
AlCl3,2.2152488347200583,-30.61701603,-3.82712700375,199.90275267465154,-1.9497129761949998,5.2758
AlBr3,2.6507757654459665,-52.48972107,-3.280607566875,668.2647975492428,-1.121820686875,4.0967
AlI3,3.204476174802493,-43.97866822,-2.74866676375,845.0596498540915,-0.6723465387500003,3.2547
GaN,4.143879539961921,-547.8152866,-5.478152866,1677.6119372761211,0.013417552810000188,0.07529999999999992
GaP,4.36211233671557,-71.35770764,-4.4598567275,306.66042796777504,-0.23962522857142865,0.21080000000000076
GaAs,5.053198871811427,-8.38980253,-4.194901265,47.53187264507629,-0.3556460675000004,0.18869999999999987
GaSb,5.3015018371593605,-14.9089017,-3.727225425,119.95280083376949,-0.14821799000000002,0.05870000000000042
Ga2O3,5.488993979972285,-232.68869728,-5.8172174320000005,453.64729938820517,-2.0691008572500005,0.009100000000000108
GaS,3.392025746734775,-16.90790521,-4.2269763025,99.65900050506662,-0.9794327095312503,1.8647999999999998
Ga2Se3,3.2673856134510983,-34.56478181,-3.456478181,382.51010973081924,-0.1505110741562504,0.61
Ga2Te5,5.500923886588706,-23.4372782,-3.3481826000000003,234.68411145248845,-0.2376950357142858,1.0068000000000001
GaF3,4.242093826748573,-38.17649338,-4.7720616725,99.2059783274446,-2.9489819096425,4.705
Ga3Cl7,2.5623692726448017,-129.84255076,-3.246063769,1185.513630156418,-1.459167490282,4.144
GaBr2,3.43882252798739,-69.04301402,-2.8767922508333332,886.6876572739204,-0.7805595141666668,3.1591
GaI2,3.9112887882852325,-89.96288083,-2.4989689119444445,1648.2671962224617,-0.47603986861111103,2.3838
InN,6.6418908932944705,-21.76775112,-5.44193778,64.41492252823848,-0.08977251785666596,9.999999999976694e-05
InP,4.569158634651977,-17.13894736,-4.28473684,105.96826762607168,-0.20391049773809566,0.5146000000000006
InAs,5.321023041417326,-15.71378393,-3.9284459825,118.42460022502019,-0.22859594166666675,0.32410000000000005
InSb2,0.13758293635310173,-6.66815914,-2.2227197133333334,4324.913061808666,1.4461305455555553,0.0951000000000004
In2O3,6.217981082731637,-537.51087496,-5.3751087496,1482.8685446454754,-1.5968743001833343,0.6811999999999996
In2S3,4.365749093605008,-164.90913151,-4.12272828775,991.4543128184489,-0.9433338315208346,0.8348999999999998
In2Se3,5.037796203428988,-111.48727783,-3.716242594333333,922.6272753042613,-0.521799612822917,0.9903
In4Te3,5.956751007351302,-89.38106516,-3.192180898571429,938.9638269353396,-0.27294107904761944,0.17720000000000002
InF3,4.711740351019401,-36.8123395,-4.6015424375,121.10282862542567,-2.8481652529758335,4.0073
InCl,4.038728091235494,-199.28448721,-3.11382011265625,1977.10452552704,-1.110965455952917,2.1876999999999995
In2Br3,4.274243899509088,-453.3301666,-2.83331354125,5834.9177682475865,-0.7551613385833335,2.3003
InI2,4.361794865205781,-58.6931336,-2.4455472333333335,1122.6927335783523,-0.5155549611111114,1.7858
TlN3,5.449008726606365,-52.09206321,-6.51150790125,150.17867866163675,0.04458353196500031,1.7591999999999999
TlP5,4.063980175168753,-118.25935781,-4.927473242083333,587.160496010641,-0.024819757202380426,1.1945000000000006
Tl4O3,9.508465766639866,-57.58242667,-4.1130304764285714,302.30927161527876,-0.9491672973214287,0.9695999999999998
Tl2S5,4.617963651779343,-105.46939381,-3.766764064642857,818.5415827358861,-0.6159082046875005,1.6707
TlSe,7.720002784401922,-25.6301239,-3.2037654875,243.78364853601917,-0.2755411967968753,0.2496999999999998
TlTe,8.060085510391994,-191.38592668,-2.990405104375,2188.6466770299917,-0.23572295437500035,0.12450000000000028
TlF,7.95339548909987,-15.46899427,-3.8672485675,93.27690028583591,-1.973498915595,2.9894000000000003
TlCl,6.093348599179843,-12.41305267,-3.1032631675,130.71877732803827,-1.2928630941300003,2.5859000000000005
TlBr,6.582512539779595,-11.4438089,-2.860952225,143.4316022562407,-0.86297025,2.1997999999999998
TlI,6.050144424314729,-5.24882104,-2.62441052,90.9261394403572,-0.6814063150000003,2.2085999999999997
SiC,3.1727482430263216,-256.02537498,-7.530158087647059,356.75134175359955,-0.20476271452205744,1.9914999999999985
GeC,5.783989580647134,-25.93091434,-6.482728585,48.605133240091675,0.441381308125,2.3598
SnC,6.588144779927546,-11.60056851,-5.800284255,32.94809585051578,0.8171512581250004,0.6257000000000001
CN2,2.5506277425143438,-48.07870191,-8.013116985,52.113900812000004,0.36368900049666664,4.6433
CO2,3.0181864305807915,-172.09582287,-7.17065928625,193.70438390531697,-1.2778912983333335,6.7726999999999995
CS5,0.4752486774071221,-203.95818371,-4.249128827291666,4817.185973407013,0.17546554953124982,0.5392999999999999
CSe2,2.7893519392090558,-28.37526838,-4.729211396666667,202.32410079062416,0.6722794046874997,2.3535
C3F2,1.9215210663334668,-414.99839173,-6.916639862166666,767.6911254495039,-0.8131356598926668,2.9477
C7Cl8,1.9372119863856214,-316.1788389,-5.269647315,1260.7363214890086,-0.2957057894886674,3.0327
C15Br7,2.9947894981361136,-573.54576333,-6.517565492386364,1640.1146386352516,0.29085301573863637,1.2305000000000001
CI4,3.9257829490911345,-12.63462456,-2.526924912,219.79400149708388,0.5334171962499997,1.1002999999999998
SiGe,3.8238473332210394,-9.98552096,-4.99276048,43.74092648009269,0.03127120500000036,0.6092000000000004
SiSn,4.371082088054384,-9.10502501,-4.552512505,55.766433513679466,0.1648448,0.4291999999999998
Si3N4,3.94604103230835,-112.48828718,-8.034877655714286,118.0656229384232,-1.16547190636,3.3331999999999997
SiP2,2.110661783024119,-132.99889282,-5.541620534166667,566.6596228489101,-0.12665191392857147,1.4224
SiAs2,4.061514564406959,-119.75776993,-4.989907080416667,581.9652703465591,-0.0829068620833328,0.8919999999999999
SiO2,2.388957367665189,-189.50356471,-7.895981862916667,334.1116997448404,-3.2699326804166673,5.522
SiS2,1.970668263245673,-62.60518559,-5.217098799166666,310.81322148238274,-1.0990473868750001,3.3838
SiSe2,2.8893912804017114,-27.52406468,-4.587344113333333,213.7954776147714,-0.4525721173958335,2.1632000000000002
Si19Te8,4.38966312761527,-254.55928353,-4.714060806111111,1176.027632163534,0.03484094111111136,0.8865999999999996
SiF4,1.9733915652268283,-28.58334279,-5.716668558,87.57888353145884,-3.495165017952,7.7173
SiCl2,1.6461250118545865,-48.23628669,-4.0196905575,399.4332124094612,-1.3753508513400001,2.0151
SiBr2,2.754363072148116,-128.11949871,-3.5588749641666664,1359.3174927468467,-0.664426055833333,2.3621
SiI4,3.223328335793342,-107.14794895,-2.67869872375,2207.7958772537218,-0.37838789874999995,2.8561
SnGe,1.5309404156109812,-7.65402022,-3.82701011,207.54834222414317,0.48906171500000006,0.21999999999999975
Ge3N4,6.337876487489494,-93.48568085,-6.677548632142857,143.5494545155653,-0.15210186564571362,1.9177
GeP,3.9918111930612477,-60.0804826,-5.006706883333334,258.61147518400963,0.009563393095237535,0.8174000000000001
GeAs2,4.730927540712892,-112.61862515,-4.692442714583334,624.726607904813,-0.0529661495833332,0.7103999999999999
GeO2,5.968561183669534,-38.45986498,-6.4099774966666665,58.22401987740853,-2.0514519675,1.3714999999999993
GeS2,2.9822334342555883,-27.63647219,-4.6060786983333335,152.30995796108132,-0.7555509393749998,2.5767999999999995
GeSe2,4.231468197782231,-49.44507909,-4.1204232575,361.91115061487056,-0.2531749148958333,1.5209000000000001
GeTe,0.5980868125199947,-6.333849,-3.1669245,555.9499564429602,0.7156561675000002,2.0934999999999997
GeF2,3.5728555836975797,-58.55619032,-4.879682526666667,205.6805622106805,-2.39173370246,4.1959
Ge3Cl8,2.1056390517240735,-151.68111447,-3.447298056136364,1582.100961882988,-1.274657471689091,3.2079
GeBr2,4.096619775328965,-19.02707474,-3.1711791233333333,188.44266733977008,-0.544253868333333,1.5371
GeI2,4.596838468966224,-26.06875863,-2.8965287366666668,353.774368903499,-0.3429071750000002,2.035
