Pretty Formula,Density,Band Gap
LiH,0.8143957267599748,3.018
BeH2,0.8075345057574178,5.341799999999999
B3H5,0.8115989706218019,3.6982999999999997
HC,1.4092697592291976,3.091
HN,1.3368112549648163,4.159800000000001
H2O2,1.83476736598444,4.1525
HF,1.7215409120537195,6.7187
NaH,1.3943801864850207,3.7974
MgH2,1.4501026387013276,3.6284
AlH3,1.4595111660744462,2.1855
SiH8,0.6116754151973525,7.026199999999999
PH3,0.6787026620013056,1.4884
H2S,1.1120655171015184,4.0901
HCl,1.140848334553483,5.1701
KH,1.4412285896091013,3.4696
CaH2,2.077239518232828,0.6833999999999998
CuH,6.673768880717793,0.5918000000000001
ZnH6,0.9571201692953708,3.2429000000000006
GeH4,2.172416735877394,1.1509
HBr,2.4359289390765735,4.486000000000001
RbH,2.6105970388475197,2.9687
SrH2,3.3177809035525567,3.1308
YH3,3.973309484838521,0.000700000000000145
AgH,7.757017769608881,0.8529999999999998
HI,2.881675189564981,4.0624
CsH,3.870623966274094,2.6482
BaH2,4.1063389265255505,2.8372
LaH3,5.472270945676496,0.4779
PrH3,5.806971913032242,0.1748000000000003
NdH3,5.513658278447439,0.04999999999999982
SmH3,6.09300153475126,0.17610000000000037
EuH2,6.3599177863928285,0.3647
GdH3,6.67144518781822,0.011699999999999822
TbH3,6.9149127933011485,0.0378999999999996
DyH3,7.216344985769394,0.3820000000000001
HoH3,7.479439164167621,0.028000000000000025
ErH3,7.682948898879707,0.4213
TmH3,7.975184582265744,0.4609000000000001
YbH2,7.380748841901626,0.03400000000000003
LuH3,9.476440417362134,0.03670000000000062
AcH3,7.80688345504138,0.9543999999999997
Pa3H,14.644907515764846,0.06909999999999883
LiB,2.098833687019991,1.4331000000000005
LiC,1.326924756274143,3.2822
Li3N,1.288609010112388,0.9858000000000001
Li2O,1.6835606217954757,2.6973
LiF,2.580181856437207,7.5592999999999995
Li3Al2,1.5386204461404829,0.24270000000000014
LiSi,1.1904964079091027,1.3767
LiP5,2.282759895845096,0.4421999999999997
Li2S,1.6295517490822542,3.4112
LiCl,2.0582444155677635,6.2506
Li2Ga7,4.6429977930248905,0.027099999999999902
LiAs,3.7138748798133014,0.3722000000000003
Li2Se,2.826921615445232,2.9974000000000003
LiBr,3.4418267009764394,4.9246
Sr19Li44,1.6870290253147124,0.04459999999999997
Li5Sn2,3.5558168709593114,0.1448999999999998
Li3Sb,2.9779825060008456,0.5321000000000002
LiTe3,5.409895186073934,0.22969999999999935
LiI,4.0634062184680895,4.2337
LiIr,12.141543668688207,0.014499999999999957
Li5Tl2,5.534064669538905,0.03469999999999995
Li17Pb4,3.9612503223716446,0.02629999999999999
Li3Bi,4.992100804704589,0.3607
Be2C,2.4612616266066016,1.1875
Be3N2,2.66463478829202,3.3533
BeO,2.9655490863507654,7.4597999999999995
BeF2,1.4929970442465097,7.9633
Mg149Be,1.7706439519949593,0.5261
Be3P2,2.256391376370561,0.21140000000000025
BeS,2.355668066290151,3.1434999999999995
BeCl2,1.6583287568722453,6.3332
BeSe,4.895412607162076,0.47279999999999944
BeBr2,2.755687685555712,5.1775
Be3Nb,4.710121198574592,0.06359999999999921
BeTe,4.98510733944444,2.0244999999999997
BeI2,3.8673936285936836,4.1400999999999994
Be5Pt,7.4692947275070285,0.1025999999999998
B13C2,2.438648037418913,0.008899999999999686
BN,3.30214298963956,4.788499999999999
B2O3,1.6580457228567478,4.231
B5F6,1.847656295808345,3.3048
Na2B29,2.383625355029516,0.1604000000000001
MgB4,2.5044156397335273,0.3705999999999996
SiB3,2.4499735446019497,1.4083000000000006
B6P,2.5888853940274603,2.5138999999999996
BS2,1.5563901594905443,2.5545
BCl,1.5020029467308262,0.9011
CaB6,2.4379946913203705,0.03840000000000021
BAs,5.087633693716703,1.2070999999999996
BSe2,3.241430136787769,1.7550000000000001
BBr3,2.3783030504338076,3.8285
